DateKey,Date,Week,FiscalMonth,HolidayFlag,EventName
20251101,2025-11-01,44,FY25-11,N,
20251102,2025-11-02,44,FY25-11,N,
20251103,2025-11-03,45,FY25-11,N,
20251104,2025-11-04,45,FY25-11,N,
20251105,2025-11-05,45,FY25-11,N,
20251106,2025-11-06,45,FY25-11,N,
20251107,2025-11-07,45,FY25-11,N,
20251108,2025-11-08,45,FY25-11,N,
20251109,2025-11-09,45,FY25-11,N,
20251110,2025-11-10,46,FY25-11,N,
20251111,2025-11-11,46,FY25-11,N,
20251112,2025-11-12,46,FY25-11,N,
20251113,2025-11-13,46,FY25-11,N,
20251114,2025-11-14,46,FY25-11,N,
20251115,2025-11-15,46,FY25-11,N,
20251116,2025-11-16,46,FY25-11,N,
20251117,2025-11-17,47,FY25-11,N,
20251118,2025-11-18,47,FY25-11,N,
20251119,2025-11-19,47,FY25-11,N,
20251120,2025-11-20,47,FY25-11,N,
20251121,2025-11-21,47,FY25-11,N,
20251122,2025-11-22,47,FY25-11,N,
20251123,2025-11-23,47,FY25-11,N,
20251124,2025-11-24,48,FY25-11,N,Pre-BF
20251125,2025-11-25,48,FY25-11,N,Pre-BF
20251126,2025-11-26,48,FY25-11,N,Pre-BF
20251127,2025-11-27,48,FY25-11,Y,Thanksgiving
20251128,2025-11-28,48,FY25-11,Y,Black Friday
20251129,2025-11-29,48,FY25-11,N,
20251130,2025-11-30,48,FY25-11,N,
20251201,2025-12-01,49,FY25-12,Y,Cyber Monday
20251202,2025-12-02,49,FY25-12,N,
20251203,2025-12-03,49,FY25-12,N,
20251204,2025-12-04,49,FY25-12,N,
20251205,2025-12-05,49,FY25-12,N,
20251206,2025-12-06,49,FY25-12,N,
20251207,2025-12-07,49,FY25-12,N,
20251208,2025-12-08,50,FY25-12,N,
20251209,2025-12-09,50,FY25-12,N,
20251210,2025-12-10,50,FY25-12,N,
20251211,2025-12-11,50,FY25-12,N,
20251212,2025-12-12,50,FY25-12,N,
20251213,2025-12-13,50,FY25-12,N,
20251214,2025-12-14,50,FY25-12,N,
20251215,2025-12-15,51,FY25-12,N,
20251216,2025-12-16,51,FY25-12,N,
20251217,2025-12-17,51,FY25-12,N,
20251218,2025-12-18,51,FY25-12,N,
20251219,2025-12-19,51,FY25-12,N,
20251220,2025-12-20,51,FY25-12,N,Christmas Week
20251221,2025-12-21,51,FY25-12,N,Christmas Week
20251222,2025-12-22,52,FY25-12,N,Christmas Week
20251223,2025-12-23,52,FY25-12,N,Christmas Week
20251224,2025-12-24,52,FY25-12,N,Christmas Week
20251225,2025-12-25,52,FY25-12,Y,Christmas
20251226,2025-12-26,52,FY25-12,Y,Boxing Day
20251227,2025-12-27,52,FY25-12,N,
20251228,2025-12-28,52,FY25-12,N,
20251229,2025-12-29,1,FY25-12,N,
20251230,2025-12-30,1,FY25-12,N,
20251231,2025-12-31,1,FY25-12,N,
20260101,2026-01-01,1,FY26-01,Y,New Year
20260102,2026-01-02,1,FY26-01,N,
20260103,2026-01-03,1,FY26-01,N,
20260104,2026-01-04,1,FY26-01,N,
20260105,2026-01-05,2,FY26-01,N,
