ShipmentID,OrderID,WarehouseID,Carrier,ServiceLevel,PromisedDate,ShipDate,DeliveryDate,ShipCost$,DeliveryStatus
SH000001,O000001,W04,FedEx,Std,2025-11-09,2025-11-05,2025-11-10,5.08,Late
SH000002,O000002,W03,UPS,Std,2025-11-30,2025-11-27,2025-12-01,8.0,Late
SH000003,O000003,W04,UPS,Std,2025-12-06,2025-12-03,2025-12-09,8.22,Late
SH000004,O000004,W01,USPS,Std,2025-12-21,2025-12-18,2025-12-25,7.97,Late
SH000005,O000005,W01,DHL,Std,2025-11-07,2025-11-02,2025-11-08,11.09,Late
SH000006,O000006,W05,DHL,Std,2026-01-05,2026-01-02,2026-01-07,5.25,Late
SH000007,O000007,W04,UPS,Std,2025-11-17,2025-11-12,2025-11-19,10.12,Late
SH000008,O000008,W03,DHL,Overnight,2025-12-10,2025-12-11,2025-12-12,30.7,Late
SH000009,O000009,W03,UPS,Std,2025-12-12,2025-12-08,2025-12-14,10.48,Late
SH000010,O000010,W03,DHL,Std,2025-12-03,2025-11-28,2025-12-03,5.6,OnTime
SH000011,O000011,W05,FedEx,Std,2025-11-18,2025-11-13,2025-11-19,10.14,Late
SH000012,O000012,W04,USPS,Std,2025-12-06,2025-12-01,2025-12-05,10.94,OnTime
SH000013,O000013,W03,UPS,Std,2026-01-07,2026-01-02,2026-01-06,7.62,OnTime
SH000014,O000014,W02,UPS,Std,2025-11-26,2025-11-23,2025-11-28,8.68,Late
SH000015,O000015,W03,DHL,Expedited,2025-12-04,2025-12-03,2025-12-05,14.77,Late
SH000016,O000016,W04,FedEx,Std,2025-12-17,2025-12-13,2025-12-18,4.78,Late
SH000017,O000017,W01,USPS,Std,2025-11-19,2025-11-16,2025-11-22,7.91,Late
SH000018,O000018,W02,UPS,Std,2025-12-03,2025-11-30,2025-12-05,6.11,Late
SH000019,O000019,W05,DHL,Std,2025-11-29,2025-11-26,2025-12-01,10.51,Late
SH000020,O000020,W03,UPS,Std,2025-12-29,2025-12-26,2025-12-30,10.67,Late
