OrderID,OrderDateTime,CustomerID,ChannelID,StoreID,PromotionID,CouponCode,PaymentType
O000001,2025-11-04 14:19:00,C015001,STORE,S060,PR041,BF25,Card
O000002,2025-11-25 02:54:00,C024674,WEB,,PR040,,PayPal
O000003,2025-12-01 23:47:00,C002255,WEB,,,,Card
O000004,2025-12-16 23:50:00,C007868,WEB,,PR023,SAVE10,Card
O000005,2025-11-02 14:04:00,C005260,WEB,,PR059,,Card
O000006,2025-12-31 22:35:00,C011555,MKT,,PR034,BF25,PayPal
O000007,2025-11-12 08:47:00,C021102,WEB,,PR005,,Card
O000008,2025-12-09 00:30:00,C017358,MKT,,PR024,BF25,BNPL
O000009,2025-12-07 17:03:00,C021951,MKT,,PR050,BF25,BNPL
O000010,2025-11-28 04:58:00,C001951,WEB,,,CM20,Card
O000011,2025-11-13 23:56:00,C008238,WEB,,PR015,BF25,Card
O000012,2025-12-01 00:58:00,C024838,STORE,S050,PR005,HOLIDAY15,Card
O000013,2026-01-02 11:28:00,C000660,WEB,,PR012,SAVE10,Card
O000014,2025-11-21 08:34:00,C012596,WEB,,PR011,CM20,Card
O000015,2025-12-01 02:37:00,C021864,WEB,,PR029,,PayPal
O000016,2025-12-12 20:37:00,C009536,WEB,,PR055,SAVE10,BNPL
O000017,2025-11-14 23:43:00,C015240,STORE,S019,PR051,SAVE10,Card
O000018,2025-11-28 08:10:00,C001351,STORE,S058,PR047,HOLIDAY15,Card
O000019,2025-11-24 23:32:00,C007610,WEB,,PR057,,PayPal
O000020,2025-12-24 09:50:00,C007163,MKT,,PR046,SAVE10,Card
O000021,2025-12-04 08:59:00,C016864,WEB,,PR012,,Card
O000022,2025-12-08 07:42:00,C002428,WEB,,PR049,CM20,BNPL
O000023,2025-12-21 23:59:00,C001765,STORE,S054,PR033,HOLIDAY15,Card
O000024,2025-12-17 09:51:00,C012649,WEB,,PR010,SAVE10,PayPal
O000025,2025-12-21 10:04:00,C022178,WEB,,PR048,HOLIDAY15,PayPal
O000026,2025-11-07 21:52:00,C002343,WEB,,PR029,SAVE10,Card
O000027,2025-12-16 16:32:00,C018047,WEB,,,SAVE10,Card
O000028,2025-11-28 18:34:00,C008272,MKT,,PR031,BF25,Card
O000029,2026-01-01 01:18:00,C016472,WEB,,PR013,,Card
O000030,2025-12-10 15:11:00,C011316,WEB,,PR049,,BNPL
O000031,2025-12-31 20:00:00,C006242,WEB,,PR031,,BNPL
O000032,2025-12-21 04:04:00,C017689,WEB,,PR058,,Card
O000033,2025-11-28 07:53:00,C024030,WEB,,PR012,SAVE10,Card
O000034,2025-11-28 10:18:00,C017521,WEB,,PR036,SAVE10,Card
O000035,2025-11-01 09:43:00,C004792,STORE,S006,PR044,HOLIDAY15,Card
O000036,2025-11-24 21:21:00,C013396,STORE,S002,PR054,,Card
O000037,2026-01-02 17:44:00,C023559,STORE,S038,PR008,,Card
O000038,2025-12-21 18:46:00,C013843,STORE,S020,PR025,,Card
O000039,2025-12-19 16:07:00,C003292,STORE,S028,PR025,,Card
O000040,2025-11-17 22:52:00,C000928,WEB,,PR031,,Card
O000041,2025-11-09 17:27:00,C023176,WEB,,PR027,SAVE10,Card
O000042,2025-11-16 17:01:00,C012598,STORE,S025,PR006,HOLIDAY15,Card
O000043,2026-01-02 15:27:00,C020479,STORE,S034,PR009,BF25,PayPal
O000044,2026-01-04 05:54:00,C004253,MKT,,PR021,,BNPL
O000045,2026-01-02 15:09:00,C024234,WEB,,PR006,HOLIDAY15,Card
O000046,2025-11-30 05:06:00,C018712,STORE,S023,PR056,,Card
O000047,2025-12-04 19:35:00,C020142,WEB,,PR023,,PayPal
O000048,2025-11-10 06:24:00,C014538,MKT,,PR018,BF25,Card
O000049,2025-12-01 17:20:00,C011899,WEB,,PR017,SAVE10,Card
O000050,2025-11-11 02:51:00,C006419,MKT,,PR040,,Card
O000051,2025-11-12 01:07:00,C019367,WEB,,,CM20,Card
O000052,2025-11-28 01:14:00,C018113,WEB,,PR021,SAVE10,PayPal
O000053,2025-12-01 09:55:00,C010823,STORE,S009,PR016,CM20,Card
O000054,2025-11-26 03:46:00,C019903,WEB,,PR051,BF25,Card
O000055,2025-11-04 22:15:00,C018261,WEB,,,SAVE10,Card
O000056,2025-12-16 05:49:00,C015265,STORE,S047,PR014,SAVE10,Card
O000057,2025-11-03 13:58:00,C011943,STORE,S013,,SAVE10,Card
O000058,2025-12-22 02:33:00,C014929,WEB,,PR018,HOLIDAY15,Card
O000059,2025-11-28 17:42:00,C009305,WEB,,PR004,BF25,Cash
O000060,2025-11-28 10:41:00,C008341,WEB,,PR031,BF25,Card
O000061,2025-12-20 05:58:00,C016782,WEB,,PR055,,Card
O000062,2025-11-15 20:45:00,C016244,WEB,,PR037,,Card
O000063,2025-11-28 08:43:00,C020412,WEB,,PR027,SAVE10,Card
O000064,2025-11-12 10:02:00,C008995,WEB,,PR025,HOLIDAY15,Cash
O000065,2025-11-28 20:55:00,C013735,WEB,,,CM20,Cash
O000066,2025-12-22 13:45:00,C024306,WEB,,PR001,SAVE10,Card
O000067,2025-11-28 19:46:00,C006714,WEB,,PR004,,Card
O000068,2025-11-26 16:48:00,C022947,WEB,,PR037,,PayPal
O000069,2025-12-10 18:33:00,C013310,WEB,,PR046,CM20,Card
O000070,2025-12-01 08:07:00,C010244,WEB,,PR023,SAVE10,Cash
O000071,2025-12-06 15:08:00,C005484,STORE,S018,,SAVE10,Card
O000072,2025-12-01 18:49:00,C015049,WEB,,PR045,,Card
O000073,2025-12-21 14:28:00,C022410,WEB,,PR032,BF25,Card
O000074,2025-11-09 12:02:00,C022931,MKT,,PR042,BF25,Card
O000075,2025-12-11 12:02:00,C007638,WEB,,PR046,HOLIDAY15,Card
O000076,2025-12-24 20:10:00,C011681,STORE,S029,PR027,HOLIDAY15,Card
O000077,2025-11-28 13:40:00,C009474,STORE,S001,PR030,,PayPal
O000078,2025-12-21 10:08:00,C004187,WEB,,PR031,BF25,Card
O000079,2025-12-28 21:47:00,C020897,STORE,S015,PR004,,Card
O000080,2025-12-01 00:15:00,C021087,STORE,S040,PR056,SAVE10,BNPL
O000081,2025-11-20 22:01:00,C022782,WEB,,,,Card
O000082,2025-11-28 23:35:00,C012424,STORE,S030,PR052,,Card
O000083,2025-12-24 07:33:00,C017586,WEB,,PR047,,Card
O000084,2025-11-28 20:17:00,C024755,MKT,,PR054,CM20,PayPal
O000085,2025-12-21 03:56:00,C009696,WEB,,PR002,,Card
O000086,2025-11-09 00:47:00,C005169,STORE,S058,PR050,,Card
O000087,2025-11-28 23:58:00,C022153,WEB,,PR013,BF25,Card
O000088,2026-01-03 11:06:00,C024929,STORE,S002,PR009,HOLIDAY15,BNPL
O000089,2025-11-25 12:12:00,C024001,STORE,S007,PR001,,PayPal
O000090,2025-11-14 00:48:00,C011087,WEB,,PR053,,Card
O000091,2025-11-11 10:41:00,C001200,WEB,,PR059,BF25,Card
O000092,2025-11-28 14:53:00,C001099,MKT,,PR042,SAVE10,PayPal
O000093,2025-12-01 12:14:00,C017406,STORE,S006,PR039,SAVE10,Card
O000094,2025-11-25 07:53:00,C004024,WEB,,PR026,CM20,Card
O000095,2025-12-08 14:41:00,C005037,STORE,S046,PR048,CM20,Card
O000096,2025-11-24 04:07:00,C019231,STORE,S032,PR003,CM20,Card
O000097,2025-11-20 18:16:00,C010373,WEB,,PR029,,Cash
O000098,2026-01-04 11:43:00,C016024,STORE,S027,PR012,,BNPL
O000099,2025-12-01 05:35:00,C001290,WEB,,PR015,CM20,PayPal
O000100,2025-11-15 20:19:00,C002445,MKT,,PR041,,Card
O000101,2025-12-31 12:39:00,C017819,WEB,,PR037,BF25,BNPL
O000102,2025-11-28 21:22:00,C019460,WEB,,PR009,,PayPal
O000103,2025-11-09 07:14:00,C004299,WEB,,PR034,BF25,PayPal
O000104,2025-12-26 14:38:00,C003266,WEB,,PR041,HOLIDAY15,Card
O000105,2025-11-07 21:56:00,C003579,WEB,,PR056,SAVE10,PayPal
O000106,2025-12-28 19:29:00,C022238,WEB,,PR028,BF25,Card
O000107,2025-12-23 16:19:00,C009840,STORE,S002,PR037,,Card
O000108,2025-11-25 03:14:00,C008135,WEB,,PR058,BF25,Cash
O000109,2025-12-20 17:04:00,C012948,WEB,,PR007,SAVE10,Card
O000110,2025-11-28 07:49:00,C005470,MKT,,PR034,,Card
O000111,2025-12-29 18:16:00,C009498,WEB,,PR016,HOLIDAY15,Card
O000112,2025-11-26 11:52:00,C023316,WEB,,PR060,HOLIDAY15,Card
O000113,2025-11-24 09:39:00,C014772,WEB,,PR052,CM20,PayPal
O000114,2025-11-26 21:11:00,C014621,STORE,S033,PR017,BF25,Card
O000115,2025-11-11 21:05:00,C001549,WEB,,PR020,SAVE10,BNPL
O000116,2025-12-22 16:27:00,C021772,WEB,,,,PayPal
O000117,2025-11-17 20:42:00,C011907,STORE,S041,PR019,HOLIDAY15,Card
O000118,2025-11-28 04:10:00,C004074,WEB,,PR054,SAVE10,PayPal
O000119,2025-12-24 03:51:00,C002731,WEB,,PR002,BF25,BNPL
O000120,2025-12-10 18:00:00,C008818,WEB,,PR023,BF25,PayPal
O000121,2025-11-30 00:59:00,C015852,WEB,,PR051,,Card
O000122,2025-12-02 18:01:00,C024918,WEB,,PR059,HOLIDAY15,Card
O000123,2025-11-11 08:04:00,C005721,WEB,,PR021,SAVE10,Card
O000124,2025-11-22 01:21:00,C010598,WEB,,PR046,SAVE10,Card
O000125,2025-11-01 20:20:00,C024500,WEB,,,,Card
O000126,2026-01-02 07:06:00,C011836,WEB,,PR032,BF25,Card
O000127,2025-11-28 01:57:00,C005588,STORE,S047,PR024,,Card
O000128,2025-12-23 21:12:00,C011221,STORE,S028,PR057,HOLIDAY15,Card
O000129,2025-12-13 07:01:00,C001271,WEB,,PR031,SAVE10,BNPL
O000130,2025-12-23 07:36:00,C000122,WEB,,PR007,CM20,BNPL
O000131,2025-12-26 23:18:00,C023364,WEB,,PR011,CM20,PayPal
O000132,2025-12-13 21:00:00,C004331,MKT,,PR015,,Card
O000133,2026-01-02 05:56:00,C020268,WEB,,PR029,,PayPal
O000134,2025-12-11 03:59:00,C016043,MKT,,PR011,BF25,PayPal
O000135,2025-12-31 01:09:00,C012018,WEB,,PR018,BF25,Card
O000136,2025-11-23 20:03:00,C023798,WEB,,PR024,HOLIDAY15,PayPal
O000137,2025-11-25 04:20:00,C012228,STORE,S023,PR008,CM20,Card
O000138,2025-12-09 15:56:00,C005466,MKT,,PR036,,Card
O000139,2025-12-14 04:25:00,C021742,MKT,,PR002,,PayPal
O000140,2025-11-20 23:58:00,C014530,STORE,S050,PR013,BF25,PayPal
O000141,2026-01-04 19:53:00,C013535,STORE,S004,PR046,,Card
O000142,2025-11-06 11:52:00,C006822,WEB,,PR006,CM20,Card
O000143,2025-11-24 13:05:00,C015000,MKT,,PR035,,Card
O000144,2025-12-01 04:40:00,C012660,STORE,S014,PR007,,Card
O000145,2025-11-21 11:12:00,C006090,STORE,S051,PR040,HOLIDAY15,Cash
O000146,2025-12-01 22:09:00,C005847,WEB,,PR001,BF25,BNPL
O000147,2025-11-06 04:16:00,C014431,WEB,,PR010,,BNPL
O000148,2025-12-13 16:27:00,C015495,WEB,,PR059,,Card
O000149,2025-12-10 08:00:00,C014608,WEB,,PR053,,Card
O000150,2025-12-29 12:59:00,C012569,STORE,S003,PR009,,Card
O000151,2025-12-03 01:42:00,C016882,WEB,,PR009,HOLIDAY15,PayPal
O000152,2025-12-20 12:50:00,C003233,WEB,,PR004,,Card
O000153,2025-11-30 06:04:00,C007389,MKT,,PR044,CM20,Card
O000154,2025-12-01 16:28:00,C010352,STORE,S038,PR013,,Card
O000155,2025-12-24 20:29:00,C021948,MKT,,PR026,CM20,Card
O000156,2025-12-22 13:55:00,C019499,WEB,,PR030,,Card
