ProductID,Category,Subcategory,StandardCost,MSRP,Vendor,SeasonalityTag
P000001,Sports,Cycling,154.81,241.95,VendorD,Winter
P000002,Books,Non-Fiction,5.42,10.36,VendorD,Evergreen
P000003,Beauty,Cosmetics,40.7,69.24,VendorA,Winter
P000004,Books,Children,31.79,52.81,VendorC,Giftable
P000005,Electronics,Gaming,71.59,110.37,VendorC,Winter
P000006,Grocery,Chocolate,181.98,348.93,VendorC,Evergreen
P000007,Grocery,Snacks,75.51,101.44,VendorD,Evergreen
P000008,Electronics,Smart Home,68.39,107.62,VendorD,Evergreen
P000009,Footwear,Sneakers,76.91,135.46,VendorB,Giftable
P000010,Grocery,Coffee,79.19,158.29,VendorC,Giftable
P000011,Home,Kitchen,24.72,42.88,VendorC,Giftable
P000012,Electronics,Smart Home,131.95,175.45,VendorC,Winter
P000013,Footwear,Slippers,6.52,11.64,VendorA,Winter
P000014,Home,Bedding,30.99,45.35,VendorA,Winter
P000015,Electronics,Headphones,49.72,77.62,VendorC,Evergreen
P000016,Toys,Board Games,192.8,340.86,VendorC,Giftable
P000017,Sports,Outdoor,47.79,78.3,VendorB,Giftable
P000018,Jewelry,Earrings,94.88,167.05,VendorA,Winter
P000019,Electronics,Gaming,116.69,201.84,VendorC,Giftable
P000020,Home,Bedding,106.54,139.3,VendorC,Giftable
P000021,Electronics,Headphones,142.24,272.23,VendorE,Giftable
P000022,Home,Decor,108.26,149.35,VendorE,Giftable
P000023,Sports,Cycling,29.62,55.31,VendorD,Giftable
P000024,Jewelry,Necklace,120.7,163.68,VendorE,Giftable
P000025,Toys,Action Figures,47.35,74.65,VendorA,Giftable
P000026,Footwear,Slippers,141.79,194.18,VendorC,Giftable
P000027,Toys,Action Figures,100.08,174.23,VendorA,Giftable
P000028,Electronics,Gaming,158.57,249.84,VendorC,Winter
P000029,Electronics,Gaming,13.21,19.74,VendorB,Giftable
P000030,Beauty,Fragrance,70.22,112.33,VendorD,Winter
P000031,Books,Non-Fiction,123.3,217.2,VendorD,Winter
P000032,Toys,Puzzles,31.14,51.89,VendorA,Evergreen
P000033,Sports,Outdoor,193.04,316.26,VendorC,Giftable
P000034,Books,Non-Fiction,183.31,350.88,VendorA,Winter
P000035,Home,Kitchen,162.81,228.44,VendorB,Evergreen
P000036,Books,Children,113.73,207.39,VendorC,Winter
P000037,Toys,Action Figures,10.95,17.68,VendorC,Giftable
P000038,Sports,Cycling,112.04,211.8,VendorD,Giftable
P000039,Footwear,Slippers,29.16,42.96,VendorC,Giftable
P000040,Books,Fiction,76.02,100.58,VendorD,Winter
P000041,Home,Decor,195.72,304.0,VendorB,Giftable
P000042,Sports,Fitness,134.58,205.68,VendorC,Giftable
P000043,Footwear,Sneakers,198.25,352.59,VendorC,Winter
P000044,Footwear,Boots,115.64,190.77,VendorE,Evergreen
P000045,Apparel,Socks,163.57,260.41,VendorC,Evergreen
P000046,Beauty,Fragrance,18.2,31.86,VendorE,Winter
P000047,Books,Non-Fiction,91.84,158.97,VendorE,Evergreen
P000048,Apparel,Sweaters,82.39,120.45,VendorD,Winter
P000049,Books,Children,101.48,153.81,VendorA,Giftable
P000050,Apparel,Outerwear,46.56,79.94,VendorE,Giftable
P000051,Books,Fiction,157.92,231.72,VendorD,Giftable
P000052,Books,Non-Fiction,141.64,253.27,VendorA,Evergreen
P000053,Books,Fiction,124.88,186.04,VendorD,Evergreen
P000054,Home,Bedding,52.75,76.14,VendorA,Evergreen
P000055,Apparel,Outerwear,71.34,106.03,VendorB,Giftable
P000056,Toys,Puzzles,192.62,322.77,VendorC,Evergreen
P000057,Grocery,Snacks,83.85,113.3,VendorC,Giftable
P000058,Home,Decor,73.26,118.88,VendorC,Evergreen
P000059,Books,Fiction,178.91,277.91,VendorD,Evergreen
P000060,Electronics,Smart Home,151.35,273.13,VendorD,Evergreen
P000061,Books,Non-Fiction,20.79,35.76,VendorB,Giftable
P000062,Toys,Action Figures,194.56,326.26,VendorB,Giftable
P000063,Apparel,Socks,86.24,129.41,VendorA,Giftable
P000064,Toys,Action Figures,44.77,74.88,VendorD,Giftable
P000065,Beauty,Skincare,33.34,47.64,VendorB,Giftable
P000066,Footwear,Sneakers,195.05,326.82,VendorD,Giftable
P000067,Footwear,Boots,135.78,263.83,VendorC,Giftable
P000068,Sports,Fitness,123.07,208.75,VendorD,Giftable
P000069,Sports,Fitness,159.42,251.3,VendorC,Evergreen
P000070,Apparel,Outerwear,108.71,211.69,VendorE,Winter
P000071,Apparel,Socks,23.78,33.47,VendorA,Giftable
P000072,Beauty,Cosmetics,81.9,114.77,VendorC,Giftable
P000073,Electronics,Gaming,194.47,374.59,VendorC,Giftable
P000074,Jewelry,Bracelet,135.54,211.48,VendorC,Giftable
P000075,Sports,Cycling,36.76,60.36,VendorE,Winter
P000076,Apparel,Outerwear,8.9,13.36,VendorD,Evergreen
P000077,Jewelry,Necklace,151.23,243.52,VendorD,Evergreen
P000078,Toys,Puzzles,41.18,68.6,VendorB,Giftable
P000079,Toys,Puzzles,85.04,155.08,VendorA,Giftable
P000080,Electronics,Smart Home,110.72,182.75,VendorC,Giftable
P000081,Footwear,Boots,35.77,58.97,VendorA,Evergreen
P000082,Apparel,Outerwear,94.83,179.89,VendorB,Giftable
P000083,Grocery,Snacks,115.99,179.05,VendorB,Giftable
P000084,Jewelry,Earrings,128.32,184.11,VendorE,Giftable
P000085,Sports,Cycling,132.34,174.98,VendorC,Giftable
P000086,Toys,Puzzles,65.21,103.15,VendorA,Giftable
P000087,Beauty,Fragrance,175.52,272.19,VendorE,Winter
P000088,Home,Kitchen,33.18,59.4,VendorD,Winter
P000089,Electronics,Gaming,195.36,363.32,VendorC,Giftable
P000090,Toys,Puzzles,149.02,288.86,VendorA,Giftable
P000091,Sports,Fitness,129.5,192.55,VendorD,Winter
P000092,Jewelry,Bracelet,69.41,113.07,VendorB,Giftable
P000093,Home,Bedding,189.55,339.93,VendorA,Evergreen
P000094,Home,Kitchen,92.32,150.89,VendorB,Giftable
P000095,Grocery,Snacks,67.7,120.72,VendorE,Giftable
P000096,Home,Decor,146.61,234.01,VendorE,Winter
P000097,Grocery,Snacks,137.14,201.95,VendorA,Evergreen
P000098,Electronics,Headphones,75.24,106.51,VendorD,Giftable
P000099,Electronics,Headphones,129.92,238.06,VendorC,Giftable
P000100,Apparel,Outerwear,104.2,182.87,VendorA,Giftable
P000101,Beauty,Skincare,5.77,7.75,VendorA,Winter
P000102,Grocery,Coffee,54.24,79.89,VendorD,Evergreen
P000103,Beauty,Fragrance,128.5,216.26,VendorA,Giftable
P000104,Jewelry,Necklace,72.49,117.59,VendorA,Winter
P000105,Sports,Cycling,31.41,51.22,VendorD,Giftable
P000106,Electronics,Smart Home,89.96,152.0,VendorB,Winter
P000107,Sports,Outdoor,144.82,289.11,VendorA,Giftable
P000108,Toys,Action Figures,190.36,256.96,VendorA,Giftable
P000109,Beauty,Cosmetics,175.54,230.59,VendorC,Winter
P000110,Home,Bedding,70.44,135.37,VendorA,Giftable
P000111,Electronics,Headphones,167.31,220.12,VendorD,Giftable
P000112,Apparel,Outerwear,78.07,153.92,VendorD,Evergreen
P000113,Toys,Board Games,46.19,70.39,VendorC,Giftable
P000114,Books,Children,131.56,228.45,VendorC,Giftable
P000115,Footwear,Sneakers,47.6,90.9,VendorA,Evergreen
P000116,Home,Decor,87.25,143.03,VendorE,Giftable
P000117,Electronics,Gaming,119.72,165.46,VendorC,Evergreen
P000118,Jewelry,Earrings,42.38,57.49,VendorB,Evergreen
P000119,Toys,Puzzles,8.65,16.7,VendorE,Giftable
P000120,Footwear,Slippers,143.31,264.62,VendorB,Giftable
P000121,Sports,Cycling,74.8,108.31,VendorA,Evergreen
P000122,Footwear,Sneakers,31.09,47.06,VendorE,Giftable
P000123,Footwear,Boots,156.04,215.43,VendorE,Evergreen
P000124,Home,Kitchen,191.6,320.99,VendorD,Giftable
P000125,Electronics,Headphones,67.69,103.9,VendorA,Winter
P000126,Toys,Board Games,36.75,48.78,VendorB,Giftable
P000127,Grocery,Chocolate,143.51,280.9,VendorB,Evergreen
