ReturnID,OrderLineID,ReturnDate,ReasonCode,Condition,Refund$,RestockFee$,ReturnShipCost$,Disposition
R0000001,OL0000001,2025-11-16,Changed Mind,Damaged,589.19,4.51,7.46,Write-off
R0000002,OL0000003,2025-12-09,Defective,New,61.41,8.96,0.39,Resell
R0000003,OL0000008,2025-12-11,Changed Mind,Opened,200.27,3.72,2.2,Write-off
R0000004,OL0000015,2026-01-21,Late Delivery,Opened,192.96,0.97,8.05,Write-off
R0000005,OL0000030,2025-12-29,Wrong Size,Opened,30.63,4.13,9.87,Write-off
R0000006,OL0000033,2025-12-30,Other,Opened,78.71,6.93,0.28,Write-off
R0000007,OL0000035,2025-12-31,Wrong Size,Opened,0.0,5.61,0.36,Write-off
R0000008,OL0000045,2025-12-12,Wrong Size,New,604.71,4.34,1.5,Resell
R0000009,OL0000064,2025-12-07,Changed Mind,New,733.31,2.63,0.93,Resell
R0000010,OL0000070,2025-12-18,Changed Mind,New,0.0,7.15,2.48,Resell
R0000011,OL0000092,2025-12-01,Changed Mind,Opened,581.37,8.76,3.5,Write-off
R0000012,OL0000100,2025-12-15,Defective,New,701.88,3.99,6.27,Resell
R0000013,OL0000121,2026-01-22,Defective,New,449.48,7.86,8.01,Resell
R0000014,OL0000128,2025-12-27,Changed Mind,New,104.46,7.95,6.87,Resell
R0000015,OL0000139,2026-01-12,Defective,Damaged,63.64,1.09,1.52,Write-off
R0000016,OL0000159,2026-01-31,Other,Opened,227.97,7.9,6.22,Write-off
R0000017,OL0000172,2026-01-11,Wrong Size,New,428.97,4.83,6.83,Resell
R0000018,OL0000177,2025-12-20,Wrong Size,Opened,394.05,0.63,0.92,Write-off
R0000019,OL0000199,2025-12-07,Late Delivery,New,275.19,8.91,0.31,Resell
R0000020,OL0000205,2025-12-17,Defective,Opened,136.72,0.15,3.02,Write-off
R0000021,OL0000207,2025-12-28,Wrong Size,Opened,84.29,5.74,5.13,Write-off
R0000022,OL0000221,2025-11-21,Wrong Size,New,179.18,0.58,0.38,Resell
R0000023,OL0000228,2025-12-19,Wrong Size,New,205.74,7.42,7.85,Resell
R0000024,OL0000240,2025-12-12,Late Delivery,New,96.22,7.86,0.3,Resell
R0000025,OL0000242,2025-12-15,Wrong Size,New,45.43,2.25,4.07,Resell
R0000026,OL0000259,2025-12-17,Defective,Opened,139.53,3.65,1.22,Write-off
R0000027,OL0000272,2025-12-25,Other,Opened,291.05,1.51,2.39,Write-off
R0000028,OL0000277,2026-01-05,Defective,New,393.33,6.42,9.82,Resell
R0000029,OL0000304,2025-12-16,Defective,Opened,219.38,2.9,4.38,Write-off
R0000030,OL0000308,2026-01-23,Defective,New,79.83,8.85,0.37,Resell
R0000031,OL0000316,2025-12-20,Wrong Size,Opened,444.21,4.74,9.72,Write-off
R0000032,OL0000317,2025-12-06,Changed Mind,Opened,274.15,6.86,0.88,Write-off
R0000033,OL0000318,2025-12-03,Late Delivery,Opened,118.05,1.97,8.09,Write-off
R0000034,OL0000323,2025-12-25,Wrong Size,Opened,64.05,3.04,9.97,Write-off
R0000035,OL0000343,2026-01-11,Other,New,232.53,3.69,1.06,Resell
R0000036,OL0000371,2025-12-12,Defective,New,485.68,2.1,0.28,Resell
R0000037,OL0000441,2025-12-15,Changed Mind,New,0.0,2.05,8.6,Resell
R0000038,OL0000463,2026-01-10,Defective,New,706.27,1.63,7.56,Resell
R0000039,OL0000468,2026-01-02,Other,Opened,151.98,2.34,3.57,Write-off
R0000040,OL0000469,2026-01-02,Changed Mind,Damaged,144.81,4.43,9.17,Write-off
R0000041,OL0000476,2026-01-05,Wrong Size,New,37.64,6.84,9.44,Resell
R0000042,OL0000481,2025-12-05,Changed Mind,New,102.46,3.59,5.44,Resell
R0000043,OL0000487,2025-12-02,Defective,Opened,672.05,1.96,0.67,Write-off
R0000044,OL0000493,2025-12-12,Defective,New,164.7,8.54,4.9,Resell
R0000045,OL0000498,2026-01-09,Changed Mind,New,0.0,6.25,6.46,Resell
R0000046,OL0000515,2026-01-06,Defective,Damaged,297.48,0.04,5.15,Write-off
R0000047,OL0000520,2026-01-18,Changed Mind,New,349.83,2.18,1.85,Resell
R0000048,OL0000522,2026-01-31,Defective,New,324.53,4.39,8.45,Resell
R0000049,OL0000525,2026-01-17,Changed Mind,New,149.3,3.32,0.84,Resell
R0000050,OL0000526,2026-01-16,Defective,New,132.35,3.04,6.59,Resell
R0000051,OL0000530,2026-01-25,Other,Opened,115.0,1.37,1.32,Write-off
R0000052,OL0000551,2025-12-06,Wrong Size,Opened,234.25,7.76,5.89,Write-off
R0000053,OL0000560,2025-12-22,Wrong Size,New,74.17,9.7,1.52,Resell
R0000054,OL0000578,2026-01-09,Wrong Size,New,26.21,8.42,5.83,Resell
R0000055,OL0000579,2025-12-28,Changed Mind,Opened,52.75,8.11,3.35,Write-off
R0000056,OL0000584,2026-01-15,Changed Mind,New,7.88,0.24,2.82,Resell
R0000057,OL0000589,2025-12-24,Defective,Opened,4.18,7.64,7.26,Write-off
R0000058,OL0000597,2026-01-08,Defective,Opened,90.88,8.93,8.5,Write-off
R0000059,OL0000614,2026-01-25,Other,Damaged,417.63,2.59,8.89,Write-off
R0000060,OL0000620,2026-01-05,Other,New,185.91,9.73,8.42,Resell
R0000061,OL0000629,2025-12-17,Other,Damaged,242.34,6.51,4.26,Write-off
R0000062,OL0000636,2025-12-13,Wrong Size,New,142.42,3.46,5.03,Resell
R0000063,OL0000655,2025-12-28,Other,Opened,59.57,3.55,3.85,Write-off
R0000064,OL0000663,2025-12-29,Defective,New,95.64,4.94,2.69,Resell
R0000065,OL0000669,2026-01-21,Late Delivery,Damaged,414.02,5.64,8.43,Write-off
R0000066,OL0000683,2025-12-31,Defective,Damaged,277.31,7.07,5.41,Write-off
R0000067,OL0000690,2025-12-30,Wrong Size,New,192.9,9.56,9.13,Resell
R0000068,OL0000696,2026-01-10,Wrong Size,New,534.39,4.51,1.86,Resell
R0000069,OL0000708,2025-12-11,Late Delivery,Opened,227.2,5.83,6.28,Write-off
R0000070,OL0000709,2025-12-05,Defective,Opened,194.74,4.75,7.84,Write-off
R0000071,OL0000713,2025-12-13,Other,Opened,644.2,4.9,7.3,Write-off
R0000072,OL0000726,2025-12-16,Defective,New,95.01,2.28,4.47,Resell
R0000073,OL0000728,2026-01-01,Changed Mind,Opened,148.95,2.49,3.17,Write-off
R0000074,OL0000729,2025-12-29,Wrong Size,New,108.72,4.51,5.99,Resell
R0000075,OL0000746,2025-12-11,Wrong Size,New,4.68,6.29,2.56,Resell
R0000076,OL0000763,2026-01-17,Changed Mind,Damaged,243.27,2.49,9.59,Write-off
R0000077,OL0000790,2025-12-05,Defective,New,397.68,0.64,7.61,Resell
R0000078,OL0000803,2025-12-20,Changed Mind,New,114.69,1.06,9.76,Resell
R0000079,OL0000815,2026-01-04,Late Delivery,Opened,18.88,8.42,2.33,Write-off
R0000080,OL0000817,2025-12-01,Defective,Damaged,67.16,3.1,8.85,Write-off
R0000081,OL0000824,2026-01-23,Defective,New,38.44,2.07,5.23,Resell
R0000082,OL0000825,2026-01-12,Changed Mind,New,26.21,9.01,3.04,Resell
R0000083,OL0000843,2025-12-03,Other,Damaged,632.51,5.49,3.98,Write-off
R0000084,OL0000863,2025-12-11,Wrong Size,Opened,893.84,4.55,3.66,Write-off
R0000085,OL0000867,2026-01-01,Late Delivery,Damaged,932.08,5.83,8.46,Write-off
R0000086,OL0000880,2026-01-10,Other,New,73.95,8.25,2.8,Resell
R0000087,OL0000881,2026-01-18,Late Delivery,Opened,130.82,9.44,8.34,Write-off
R0000088,OL0000885,2026-01-02,Changed Mind,New,185.27,9.76,0.11,Resell
R0000089,OL0000894,2026-02-05,Wrong Size,New,370.42,4.26,1.04,Resell
R0000090,OL0000915,2025-12-10,Wrong Size,New,168.61,9.99,3.94,Resell
R0000091,OL0000919,2025-12-25,Defective,New,61.28,1.42,5.75,Resell
R0000092,OL0000921,2025-12-23,Wrong Size,New,36.0,7.66,0.46,Resell
R0000093,OL0000924,2026-01-06,Defective,New,173.44,4.37,3.44,Resell
R0000094,OL0000935,2026-01-01,Wrong Size,New,190.69,6.52,3.01,Resell
R0000095,OL0000938,2026-01-11,Defective,New,170.49,1.33,2.6,Resell
R0000096,OL0000946,2026-01-15,Changed Mind,New,164.96,6.31,1.93,Resell
R0000097,OL0000947,2026-01-24,Wrong Size,Opened,54.91,8.05,0.78,Write-off
