Date,Total Net Profit
2025-11-01 00:00:00,"$73109,62"
2025-11-02 00:00:00,"$72187,65"
2025-11-03 00:00:00,"$83053,24"
2025-11-04 00:00:00,"$82227,41"
2025-11-05 00:00:00,"$76968,48"
2025-11-06 00:00:00,"$82744,56"
2025-11-07 00:00:00,"$75782,35"
2025-11-08 00:00:00,"$81224,73"
2025-11-09 00:00:00,"$83485,24"
2025-11-10 00:00:00,"$87465,80"
2025-11-11 00:00:00,"$66169,42"
2025-11-12 00:00:00,"$84771,91"
2025-11-13 00:00:00,"$80835,11"
2025-11-14 00:00:00,"$95295,72"
2025-11-15 00:00:00,"$79393,60"
2025-11-16 00:00:00,"$80741,79"
2025-11-17 00:00:00,"$87497,85"
2025-11-18 00:00:00,"$82144,33"
2025-11-19 00:00:00,"$76118,08"
2025-11-20 00:00:00,"$79804,16"
2025-11-21 00:00:00,"$79605,74"
2025-11-22 00:00:00,"$84517,09"
2025-11-23 00:00:00,"$89472,15"
2025-11-24 00:00:00,"$182363,07"
2025-11-25 00:00:00,"$192895,08"
2025-11-26 00:00:00,"$215742,52"
2025-11-27 00:00:00,"$35250,72"
2025-11-28 00:00:00,"$1010440,68"
2025-11-29 00:00:00,"$89906,90"
2025-11-30 00:00:00,"$80056,53"
2025-12-01 00:00:00,"$826656,42"
2025-12-02 00:00:00,"$76498,67"
2025-12-03 00:00:00,"$85914,99"
2025-12-04 00:00:00,"$81873,62"
2025-12-05 00:00:00,"$74330,82"
2025-12-06 00:00:00,"$71243,93"
2025-12-07 00:00:00,"$78957,40"
2025-12-08 00:00:00,"$77849,56"
2025-12-09 00:00:00,"$81454,18"
2025-12-10 00:00:00,"$83030,97"
2025-12-11 00:00:00,"$77265,25"
2025-12-12 00:00:00,"$76700,66"
2025-12-13 00:00:00,"$82772,58"
2025-12-14 00:00:00,"$84962,82"
2025-12-15 00:00:00,"$73608,44"
2025-12-16 00:00:00,"$80309,68"
2025-12-17 00:00:00,"$87429,75"
2025-12-18 00:00:00,"$74848,53"
2025-12-19 00:00:00,"$80461,13"
2025-12-20 00:00:00,"$258100,16"
2025-12-21 00:00:00,"$241016,60"
2025-12-22 00:00:00,"$248861,70"
2025-12-23 00:00:00,"$233451,57"
2025-12-24 00:00:00,"$243128,42"
2025-12-25 00:00:00,"$86228,37"
2025-12-26 00:00:00,"$89147,04"
2025-12-27 00:00:00,"$85358,04"
2025-12-28 00:00:00,"$86418,04"
2025-12-29 00:00:00,"$77738,93"
2025-12-30 00:00:00,"$79879,00"
2025-12-31 00:00:00,"$80826,11"
2026-01-01 00:00:00,"$44921,65"
2026-01-02 00:00:00,"$75826,77"
2026-01-03 00:00:00,"$81768,93"
2026-01-04 00:00:00,"$69760,69"
2026-01-05 00:00:00,"$83067,14"
